pay_method,order_hour_of_day,days_since_prior_order,Total_Price,total_barang,time_pickup_sec,time_service_sec
2,0,17,38.78,7,408,153
2,0,11,16.92,4,296,164
1,0,3,198.23,24,1205,169
2,0,3,74.19,16,776,342
1,0,10,104.66,18,912,314
2,0,30,46.87,5,344,385
3,0,26,180.2,30,1464,294
1,0,30,143.34,25,1283,213
2,0,30,109.53,17,748,387
3,0,7,69.58,9,501,423
3,0,23,90.3,16,923,251
3,0,30,203.23,33,1506,259
1,0,8,69.69,11,576,292
2,0,8,89.34,13,686,261
3,0,13,110.84,15,482,457
2,0,14,30.42,5,428,166
2,0,30,21.47,3,256,266
2,0,30,69.98,11,595,165
3,0,15,27.03,4,289,152
1,0,30,24.85,4,299,227
3,0,30,92.99,13,740,177
3,0,3,79.51,13,600,310
2,0,30,82.79,15,799,187
2,0,8,41.45,7,431,160
3,0,4,129.18,20,1023,231
3,0,26,64.72,10,628,231
3,0,6,41.41,6,399,253
1,0,8,38.57,6,426,184
1,0,22,66.79,9,299,363
3,0,11,55.77,8,475,247
2,0,30,54.98,9,522,155
2,0,29,73.44,12,699,166
1,0,30,21.97,3,225,194
3,1,30,22.48,2,215,194
3,1,5,110.36,12,656,164
1,1,13,32.42,6,353,133
3,1,15,107.99,17,864,427
3,1,30,47.54,5,223,250
2,1,8,37.62,8,441,311
1,1,6,191.34,28,1244,290
1,1,30,12.48,2,229,204
3,1,30,110.12,20,803,366
2,1,30,106.03,18,967,162
3,1,24,17.94,3,232,141
3,1,8,92.89,15,704,253
3,1,30,137.64,19,935,157
1,1,30,32.06,4,442,149
3,1,21,82.23,10,510,265
3,1,30,54.81,10,542,157
1,1,5,23.26,4,292,243
3,1,30,11.67,3,252,208
1,1,21,46.97,6,389,194
1,1,30,124.19,20,1032,148
3,1,30,86.88,12,646,173
3,1,7,47.13,6,352,355
1,1,30,24.29,3,279,234
3,1,20,18.65,4,285,156
3,1,30,381.31,55,2695,142
2,1,8,35.41,3,458,145
1,1,9,16.42,3,43,644
3,2,6,86.13,12,624,231
2,2,9,74.81,12,657,216
1,2,13,47.7,6,379,152
2,2,20,172.05,16,853,164
1,2,30,27.84,5,348,159
2,2,30,21.42,4,270,276
2,2,6,62.4,10,581,171
1,2,23,25.55,5,331,168
2,2,7,18.16,3,249,243
3,2,4,4.19,1,164,130
1,2,5,120.03,19,891,363
2,2,1,131.86,24,1142,377
3,3,22,42.08,8,428,206
3,3,30,21.53,5,358,179
1,3,12,142.58,23,1145,357
3,3,0,17.75,3,247,153
3,4,7,12.28,2,206,136
2,4,15,162.37,23,1082,245
2,4,9,117.49,13,665,383
2,4,22,133.9,27,1318,410
2,4,7,172.66,27,1392,166
2,4,15,174.47,18,819,308
3,4,6,39.92,6,405,366
3,4,7,5.99,1,155,133
3,4,6,55.57,9,481,220
1,5,22,203.47,21,983,190
3,5,30,123.09,21,969,146
3,5,14,42.22,7,463,314
2,5,30,16.07,3,247,337
1,5,0,64.83,13,681,376
2,5,12,152.35,26,1426,130
3,5,30,7.49,1,177,276
1,5,13,120.45,18,898,208
2,5,0,95.52,12,599,323
2,5,30,159.67,25,1223,190
1,5,30,83.2,15,649,382
3,5,6,99.36,17,788,296
3,5,30,55.06,9,610,305
1,5,30,7.99,1,155,125
2,5,14,60.66,8,480,189
3,5,8,91.07,18,901,163
2,5,7,38.48,5,361,320
1,5,8,77.81,12,598,310
1,5,30,104.01,17,847,131
3,5,30,73.56,13,704,260
3,5,30,15.87,2,219,250
3,5,17,74.9,12,651,215
1,5,21,59.88,9,502,212
3,6,7,60.02,7,420,182
3,6,6,122.4,14,812,220
1,6,30,27.37,6,365,274
1,6,30,65.51,9,530,212
1,6,6,69.92,10,513,233
1,6,2,125.29,18,849,244
2,6,11,55.2,10,464,346
3,6,6,25.74,4,280,203
2,6,30,77.84,12,626,172
2,6,30,24.98,5,343,150
1,6,25,90.02,14,702,309
1,6,7,145.53,21,1091,172
3,6,4,20.63,5,330,286
3,6,5,125.85,17,925,235
3,6,30,89.86,17,811,243
2,6,0,33.19,6,369,174
3,6,8,31.51,6,459,172
3,6,3,70.81,10,604,159
3,6,12,80.43,13,551,432
3,6,2,25.25,5,269,325
3,6,23,190.53,32,1606,132
3,6,21,37.22,6,244,321
1,6,7,56.53,9,479,188
3,6,30,50.47,8,499,201
1,6,14,69.39,10,660,140
3,6,5,155.16,22,1128,183
2,6,16,10.39,2,147,229
3,6,1,111.94,15,793,297
2,6,16,95.36,12,642,219
1,6,30,38.3,7,343,209
1,6,7,103.73,17,841,163
1,6,13,95.97,16,787,188
3,6,30,23.56,4,275,334
3,6,2,35.91,6,359,267
2,6,3,40.58,6,358,179
3,6,9,110.94,14,768,198
1,6,14,32.04,5,375,162
1,6,6,28.29,6,411,232
1,6,28,65.07,11,555,220
3,6,6,69.74,8,491,190
2,6,13,30.5,6,376,189
3,6,13,42.03,8,499,197
3,6,30,34.51,7,383,232
2,6,30,17.92,2,100,296
1,6,12,109.14,14,583,402
3,6,3,89.75,16,835,155
2,6,24,171.06,26,1333,181
3,6,7,16.26,3,273,259
1,6,11,34.95,5,309,272
1,6,30,20.77,3,396,146
1,7,18,65.77,11,690,143
2,7,24,180.45,22,1204,171
3,7,27,53.61,11,540,235
2,7,30,16.98,3,255,173
1,7,20,48.4,7,429,244
2,7,3,134.2,20,876,344
1,7,13,19.44,5,409,181
2,7,5,45.41,7,321,335
3,7,24,34.64,5,413,171
1,7,8,319.69,52,2420,294
3,7,30,72.22,14,864,165
3,7,3,23.74,5,198,325
1,7,30,126.6,18,1036,216
3,7,30,10.49,2,255,195
1,7,7,35.44,6,406,139
1,7,30,26.97,5,348,164
3,7,1,51.38,7,328,293
3,7,30,20.65,2,238,178
2,7,26,103.41,19,1050,129
2,7,30,28.55,4,433,140
1,7,7,46.34,7,408,186
1,7,5,87.04,13,702,269
3,7,9,26.41,5,376,182
3,7,30,20.41,5,228,329
3,7,5,290.77,39,1950,146
2,7,8,116.84,18,679,404
2,7,8,163.24,26,1372,262
3,7,25,142.01,22,1070,282
3,7,30,63.09,9,568,247
1,7,8,56.26,10,634,149
2,7,30,6.99,1,274,179
3,7,9,15.47,3,86219,649
2,7,30,65.55,7,569,140
2,7,30,9.68,2,206,172
3,7,7,104.74,19,802,351
3,7,13,110.85,17,1003,131
2,7,26,83.85,14,761,192
1,7,30,29.57,6,248,381
